"Data Import Template"
"Table:","Report"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Report","","","","","","","","","","",""
"Column Labels:","ID","Report Name","Ref DocType","Is Standard","Report Type","Add Total Row","Disabled","Apply User Permissions","Query","Javascript","JSON","Module"
"","""Item-wise Price List Rate""","Item-wise Price List Rate","Price List","Yes","Report Builder",0,0,1,"","","{""filters"":[[""Item Price"",""price_list"",""like"",""%""],[""Item Price"",""item_code"",""like"",""%""]],""columns"":[[""name"",""Item Price""],[""price_list"",""Item Price""],[""item_code"",""Item Price""],[""item_name"",""Item Price""],[""item_description"",""Item Price""],[""price_list_rate"",""Item Price""],[""buying"",""Item Price""],[""selling"",""Item Price""],[""currency"",""Item Price""]],""sort_by"":""Item Price.modified"",""sort_order"":""desc"",""sort_by_next"":"""",""sort_order_next"":""desc""}","Stock"
"","""Balance Sheet""","Balance Sheet","GL Entry","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Customer Addresses and Contacts""","Customer Addresses And Contacts","Customer","Yes","Query Report",0,0,1,"SELECT
	`tabCustomer`.name as customer_id,
	`tabCustomer`.customer_name,
	`tabCustomer`.customer_group,
	`tabAddress`.address_line1,
	`tabAddress`.address_line2,
	`tabAddress`.city,
	`tabAddress`.state,
	`tabAddress`.pincode,
	`tabAddress`.country,
	`tabAddress`.is_primary_address, 
	`tabContact`.first_name,
	`tabContact`.last_name,
	`tabContact`.phone,
	`tabContact`.mobile_no,
	`tabContact`.email_id,
	`tabContact`.is_primary_contact
FROM
	`tabCustomer`
	left join `tabAddress` on (
		`tabAddress`.customer=`tabCustomer`.name
	)
	left join `tabContact` on (
		`tabContact`.customer=`tabCustomer`.name
	)
WHERE
	`tabCustomer`.docstatus<2
ORDER BY
	`tabCustomer`.name asc","","","Selling"
"","""Profit and Loss Statement""","Profit and Loss Statement","GL Entry","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Trial Balance""","Trial Balance","GL Entry","Yes","Script Report",0,0,1,"","","","Accounts"
"","""Purchase Order Items To Be Received""","Purchase Order Items To Be Received","Purchase Receipt","Yes","Query Report",1,0,1,"select 
    `tabPurchase Order`.`name` as ""Purchase Order:Link/Purchase Order:120"",
	`tabPurchase Order`.`transaction_date` as ""Date:Date:100"",
	`tabPurchase Order Item`.`schedule_date` as ""Reqd by Date:Date:110"",
	`tabPurchase Order`.`supplier` as ""Supplier:Link/Supplier:120"",
	`tabPurchase Order Item`.`project_name` as ""Project"",
	`tabPurchase Order Item`.item_code as ""Item Code:Link/Item:120"",
	`tabPurchase Order Item`.qty as ""Qty:Float:100"",
	`tabPurchase Order Item`.received_qty as ""Received Qty:Float:100"", 
	(`tabPurchase Order Item`.qty - ifnull(`tabPurchase Order Item`.received_qty, 0)) as ""Qty to Receive:Float:100"",
    `tabPurchase Order Item`.warehouse as ""Warehouse:Link/Warehouse:150"",
	`tabPurchase Order Item`.item_name as ""Item Name::150"",
	`tabPurchase Order Item`.description as ""Description::200"",
    `tabPurchase Order Item`.brand as ""Brand::100""
from
	`tabPurchase Order`, `tabPurchase Order Item`
where
	`tabPurchase Order Item`.`parent` = `tabPurchase Order`.`name`
	and `tabPurchase Order`.docstatus = 1
	and `tabPurchase Order`.status != ""Stopped""
	and ifnull(`tabPurchase Order Item`.received_qty, 0) < ifnull(`tabPurchase Order Item`.qty, 0)
order by `tabPurchase Order`.transaction_date asc","","","Stock"
"","""Received Items To Be Billed""","Received Items To Be Billed","Purchase Invoice","Yes","Query Report",0,0,1,"select
    `tabPurchase Receipt`.`name` as ""Purchase Receipt:Link/Purchase Receipt:120"",
    `tabPurchase Receipt`.`supplier` as ""Supplier:Link/Supplier:120"",
	`tabPurchase Receipt`.`posting_date` as ""Date:Date"",
	`tabPurchase Receipt Item`.`project_name` as ""Project"",
	`tabPurchase Receipt Item`.`item_code` as ""Item:Link/Item:120"",
	(`tabPurchase Receipt Item`.`qty` - ifnull((select sum(qty) from `tabPurchase Invoice Item` 
	    where `tabPurchase Invoice Item`.purchase_receipt = `tabPurchase Receipt`.name and
            `tabPurchase Invoice Item`.docstatus = 1 and
	    `tabPurchase Invoice Item`.pr_detail = `tabPurchase Receipt Item`.name), 0))
	    as ""Qty:Float:110"",
	(`tabPurchase Receipt Item`.`base_amount` - ifnull((select sum(base_amount) 
             from `tabPurchase Invoice Item` 
             where `tabPurchase Invoice Item`.purchase_receipt = `tabPurchase Receipt`.name and
            `tabPurchase Invoice Item`.docstatus = 1 and
            `tabPurchase Invoice Item`.pr_detail = `tabPurchase Receipt Item`.name), 0))
	    as ""Amount:Currency:110"",
	`tabPurchase Receipt Item`.`item_name` as ""Item Name::150"",
	`tabPurchase Receipt Item`.`description` as ""Description::200""
from `tabPurchase Receipt`, `tabPurchase Receipt Item`
where
    `tabPurchase Receipt`.docstatus = 1 and
    `tabPurchase Receipt`.name = `tabPurchase Receipt Item`.parent and
    (`tabPurchase Receipt Item`.qty > ifnull((select sum(qty) from `tabPurchase Invoice Item` 
        where `tabPurchase Invoice Item`.purchase_receipt = `tabPurchase Receipt`.name and
            `tabPurchase Invoice Item`.docstatus=1 and 
            `tabPurchase Invoice Item`.pr_detail = `tabPurchase Receipt Item`.name), 0))
order by `tabPurchase Receipt`.`name` desc","","","Accounts"
"","""Supplier Addresses and Contacts""","Supplier Addresses and Contacts","Supplier","Yes","Query Report",0,0,1,"SELECT
    `tabSupplier`.name as ""Supplier:Link/Supplier:120"",
	`tabSupplier`.supplier_name as ""Supplier Name::120"",
	`tabSupplier`.supplier_type as ""Supplier Type:Link/Supplier Type:120"",
	concat_ws(', ', 
		trim(',' from `tabAddress`.address_line1), 
		trim(',' from tabAddress.address_line2), 
		tabAddress.state, tabAddress.pincode, tabAddress.country
	) as 'Address::180',
    concat_ws(', ', `tabContact`.first_name, `tabContact`.last_name) as ""Contact Name::180"",
	`tabContact`.phone as ""Phone"",
	`tabContact`.mobile_no as ""Mobile No"",
	`tabContact`.email_id as ""Email Id::120"",
	`tabContact`.is_primary_contact as ""Is Primary Contact::120""
FROM
	`tabSupplier`
	left join `tabAddress` on (
		`tabAddress`.supplier=`tabSupplier`.name
	)
	left join `tabContact` on (
		`tabContact`.supplier=`tabSupplier`.name
	)
WHERE
	`tabSupplier`.docstatus<2
ORDER BY
	`tabSupplier`.name asc","","","Buying"
"","""Issued Items Against Production Order""","Issued Items Against Production Order","Production Order","Yes","Query Report",0,0,1,"select
    ste.production_order as ""Production Order:Link/Production Order:120"",
    ste.posting_date as ""Issue Date:Date:140"",
    ste_item.item_code as ""Item Code:Link/Item:120"",
	ste_item.description as ""Description::150"",
	ste_item.transfer_qty as ""Qty:Float:100"",
	ste_item.stock_uom as ""UOM:Link/UOM:80"",
	ste_item.amount as ""Amount:Currency:120"",
	ste_item.serial_no as ""Serial No:Link/Serial No:80"",
	ste_item.s_warehouse as ""Source Warehouse:Link/Warehouse:120"",
	ste_item.t_warehouse as ""Target Warehouse:Link/Warehouse:120"",
	pro.production_item as ""Finished Goods:Link/Item:120"", 
	ste.name as ""Stock Entry:Link/Stock Entry:120""
from
	`tabStock Entry` ste, `tabStock Entry Detail` ste_item, `tabProduction Order` pro
where
	ifnull(ste.production_order, '') != '' and ste.name = ste_item.parent 
	and ste.production_order = pro.name and ste.docstatus = 1 
	and ste.purpose = 'Manufacture' or 'Repack'
order by ste.posting_date, ste.production_order, ste_item.item_code","","","Manufacturing"
"","""Stock Balance""","Stock Balance","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","Stock"
"","""Ordered Items To Be Delivered""","Ordered Items To Be Delivered","Delivery Note","Yes","Query Report",0,0,1,"select 
 `tabSales Order`.`name` as ""Sales Order:Link/Sales Order:120"",
 `tabSales Order`.`customer` as ""Customer:Link/Customer:120"",
 `tabSales Order`.`transaction_date` as ""Date:Date"",
 `tabSales Order`.`project_name` as ""Project"",
 `tabSales Order Item`.item_code as ""Item:Link/Item:120"",
 `tabSales Order Item`.qty as ""Qty:Float:140"",
 `tabSales Order Item`.delivered_qty as ""Delivered Qty:Float:140"",
 (`tabSales Order Item`.qty - ifnull(`tabSales Order Item`.delivered_qty, 0)) as ""Qty to Deliver:Float:140"",
 `tabSales Order Item`.warehouse as ""Warehouse:Link/Warehouse:150"",
 `tabSales Order Item`.base_amount as ""Amount:Float:140"",
 `tabSales Order`.`delivery_date` as ""Expected Delivery Date:Date:120"",
 `tabSales Order Item`.item_name as ""Item Name::150"",
 `tabSales Order Item`.description as ""Description::200"",
 `tabSales Order Item`.item_group as ""Item Group:Link/Item Group:120""
from
 `tabSales Order`, `tabSales Order Item`
where
 `tabSales Order Item`.`parent` = `tabSales Order`.`name`
 and `tabSales Order`.docstatus = 1
 and `tabSales Order`.status != ""Stopped""
 and ifnull(`tabSales Order Item`.delivered_qty,0) < ifnull(`tabSales Order Item`.qty,0)
order by `tabSales Order`.transaction_date asc","","","Stock"
"","""Sales Invoice Report""","Sales Invoice Report","Sales Invoice","No","Report Builder",0,0,1,"","","{""filters"":[[""Sales Invoice"",""docstatus"",""!="",""2""]],""columns"":[[""name"",""Sales Invoice""],[""customer_name"",""Sales Invoice""],[""posting_date"",""Sales Invoice""],[""docstatus"",""Sales Invoice""],[""po_no"",""Sales Invoice""],[""due_date"",""Sales Invoice""],[""credit_days"",""Sales Invoice""],[""grand_total"",""Sales Invoice""],[""outstanding_amount"",""Sales Invoice""],[""delivery_date"",""Sales Invoice""],[""sales_rep_sm"",""Sales Invoice""],[""_user_tags"",""Sales Invoice""]],""sort_by"":""Sales Invoice.name"",""sort_order"":""asc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
"","""Custom Stock Ledger""","Custom Stock Ledger","Stock Ledger Entry","Yes","Script Report",0,0,1,"","","","SF Custom Changes"
"","""Journal Vouchers against Sales Invoices""","Journal Vouchers against Sales Invoices","Journal Voucher","No","Report Builder",0,0,1,"","","{""filters"":[[""Journal Voucher"",""docstatus"",""!="",""2""],[""Journal Voucher Detail"",""against_invoice"",""!="",""""]],""columns"":[[""name"",""Journal Voucher""],[""voucher_type"",""Journal Voucher""],[""posting_date"",""Journal Voucher""],[""cheque_no"",""Journal Voucher""],[""account"",""Journal Voucher Detail""],[""total_credit"",""Journal Voucher""],[""against_invoice"",""Journal Voucher Detail""],[""clearance_date"",""Journal Voucher""]],""sort_by"":""Journal Voucher.modified"",""sort_order"":""desc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
"","""Bank Vouchers against PINVs""","Bank Vouchers against PINVs","Journal Voucher","No","Report Builder",0,0,1,"","","{""filters"":[[""Journal Voucher"",""docstatus"",""!="",""2""],[""Journal Voucher Detail"",""against_voucher"",""!="",""""]],""columns"":[[""name"",""Journal Voucher""],[""voucher_type"",""Journal Voucher""],[""posting_date"",""Journal Voucher""],[""cheque_no"",""Journal Voucher""],[""account"",""Journal Voucher Detail""],[""total_debit"",""Journal Voucher""],[""against_voucher"",""Journal Voucher Detail""],[""clearance_date"",""Journal Voucher""]],""sort_by"":""Journal Voucher.modified"",""sort_order"":""desc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
"","""Commission Report""","Commission Report","Sales Invoice","No","Report Builder",0,0,1,"","","{""filters"":[[""Sales Invoice"",""docstatus"",""!="",""2""],[""Sales Invoice"",""outstanding_amount"",""="",0],[""Sales Invoice"",""sales_partner"",""!="",""""]],""columns"":[[""name"",""Sales Invoice""],[""customer_name"",""Sales Invoice""],[""posting_date"",""Sales Invoice""],[""po_no"",""Sales Invoice""],[""grand_total"",""Sales Invoice""],[""sales_partner"",""Sales Invoice""],[""sales_rep_sm"",""Sales Invoice""],[""total_commission"",""Sales Invoice""],[""commission_rate"",""Sales Invoice""],[""_user_tags"",""Sales Invoice""]],""sort_by"":""Sales Invoice.sales_partner"",""sort_order"":""asc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Accounts"
"","""Item List Report""","Item List Report","Item","No","Report Builder",0,0,1,"","","{""filters"":[],""columns"":[[""name"",""Item""],[""item_name"",""Item""],[""item_group"",""Item""],[""description"",""Item""],[""income_account"",""Item""],[""expense_account"",""Item""],[""stock_uom"",""Item""],[""default_warehouse"",""Item""],[""net_weight"",""Item""]],""sort_by"":""Item.name"",""sort_order"":""asc"",""sort_by_next"":null,""sort_order_next"":""desc""}","Stock"
"","""Custom Sales Partners Commission""","Custom Sales Partners Commission","Sales Invoice","Yes","Query Report",0,0,1,"SELECT
    name as ""Sales Invoice:Link/Sales Invoice:150"",
    posting_date as ""Date::80"",
    customer ""Customer:Link/Customer:150"",
    sales_partner as ""Sales Partner:Link/Sales Partner:150"",
	sum(net_total) as ""Invoiced Amount (Exculsive Tax):Currency:210"",
	sum(total_commission) as ""Total Commission:Currency:150"",
	sum(total_commission)*100/sum(net_total) as ""Percent Commission Rate:Float:170"",
        payments_made as ""Payments Made:Currency:150"",
        payment_details as ""Payment Details:Link/Journal Voucher:150"",
        (sum(total_commission) - payments_made) as ""Outstanding Amount:Currency:150"" 
FROM
	`tabSales Invoice`
WHERE
	docstatus = 1 and ifnull(net_total, 0) > 0 and ifnull(total_commission, 0) > 0
GROUP BY
	name
ORDER BY
	""Total Commission:Currency:120""","","","SF Custom Changes"
